"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-1.82,-1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,-0.23,0,-3.69,0,0,-0.16,0,-0.11,0,0,0,-0.19,0,0,0,0,-0.18,0,0,0,-0.13,0,-0.16,0
"BSE_Sensex",0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"CSE",0.5,0,0,0,0,0,-2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.49
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,2.21,-1.54,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0.52,0
"MERVAL",0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.55,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,2.95,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37,0,0,0,0,0,0,2.69,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,-2.47,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35
