"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-3.44,-1.43,-1.66,0,0,-1.98,-1.11,-2.68,-0.99,-1.81,-2.47,-1.56,0,0,0,-1.02,0,0,0,0,0,-0.98,0,-1.11,-1.04
"ATX",0,-0.5,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-4.06,0,0,0,0,-1.54,-0.64,0,0,0,0,0,0,0,0,-0.69,-2.2,0,0,0,0,0,0
"Bovespa",0,0,0,3.21,-0.41,0,0,0,0,0,0,0,0,0,0,0,-0.43,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,2.4,0,-0.69,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0
"CAC40",-4.33,-3.2,-3.81,0,0,-4.84,-1.49,-6.05,-3.02,-4.13,-4.08,-4.56,0,0,0,-2.97,0,-2.05,0,0,-2.44,-2.85,0,-1.49,-2.75
"CSE",0,1.01,0.92,0,0,0,-2.43,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,0.17,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",7.44,5.4,6.75,0,0,7.86,3.24,10.67,4.65,-4.46,6.94,7.24,0,0,0,4.6,0,3.31,0,0,3.69,4.53,0,3.24,4.9
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,0.63,0,-0.32,0,0,0,0,0,0.5,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,-6.52,0,0,0,0,0,0,0,-0.53,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,-9.24,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0.25,0,0,0,0,0
"Nasdaq",0,0,1.8,0,0,2.41,0,2.49,0,2.27,2.89,2.33,0,0,0,2.9,0,0,0,0,0,0,0.85,0,0
"Nifty_50",0,0,0,0,0,0,0,0,-1.64,0,0,0,0,0,0,0,-0.86,0,0,0,-2.35,0,0,0,0
"IPC_MEXICO",-1.14,-1.01,-0.97,0,0,-1.38,-0.58,-1.33,-0.5,-1.28,-1.24,0,0,0,0,-0.83,0,1.24,0,-0.77,-0.66,-0.58,0,-0.58,-1.07
"MERVAL",0,0.26,0.32,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,10.36,0,0.17,0,0,0.13,0.2
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,-4.55,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,-2.22,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.61
