"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-10.88,0,0,1.9,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.95,0,1.09,0
"ATX",0,-7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,-16.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,3.85,-5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,3.46,0,-6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,-10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,2.08,0,0,0,0,-9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,-6.34,0,0,-3.22,0,0,-8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.22,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,-17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0.64,0,0,0.61,0,0,0,0,-11.23,0,0.85,0,0,0,0.46,1.35,0,0,0,0,0.61,0
"IDX_Composite",0,0,0,-0.32,0,0,0,0,0,0,0,0,-12.49,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0.47,0,0,0.55,0,0.6,0,0,0,0.43,-5.62,0,0.61,0,0,1.04,0,0.49,0.6,0,0.55,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,0,0,0,0,0,0.26,0,0
"Nasdaq",0,0,0,2.33,1.05,0,1.1,0,1.61,0,0,0,1.6,1.43,0,-9.51,0,1.3,0,1.57,1.16,1.67,0.66,1.1,0
"Nifty_50",0,0,0,-3.83,0,0,0,0,0,0,0,0,0,0,0,0,-5.12,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.42,0,0,0,0,0,0
"Nikkei_225",0,0,0,-0.26,0,0,0,0,-0.26,0,0,0,0,0,0,0,0,0,0,-12.44,0,-0.25,0,0,0
"Russell_2000",0,0,0,0,-0.77,0,0,0,0,0,0,0,-0.92,-0.66,0,0,-0.75,0,0,-1.15,-14.07,0,0,0,0
"SP_500",0,0,0,-3.01,0,0,0,0,0,0,0,0,0,-2.29,0,0,0,0,0,0,0,-8.86,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33,0,0
"SP_TSX_Composite_index",0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.25,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05
