"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,-7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93,0,0,0,0,0,0
"BEL_20",0,0,-0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,-3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-2.25,0,0,0,0,0,0,0.72,0,0,0,1.52,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,1.88,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,-2.08,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0
"IBEX_35",0,1.04,0.76,0,0,0.72,0.31,0.73,0.41,0.71,0,-6.42,0,0,0,0.5,0,0.48,0,0,0.61,0.44,0,0.31,0.51
"IDX_Composite",0.67,0.91,0.9,0,0,0.93,0,0.91,0,0.88,0,0,5.13,0,0,0.5,0,0,0,0,0,0,0,0,0.63
"KOSPI_Composite_Index",0,0,0,2.05,0,0,0,0,0,0,0,0,0,-3.78,0,0,0,0,1.53,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,-0.49,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.85,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0
"Nikkei_225",0,0,0,-0.49,0,0,-0.17,0,0,0,0,0,0,0,-0.23,0,0,-0.22,-0.62,-3.83,0,0,0,-0.17,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.67,0,0,0,0,0,3.01,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"SP_NZX_50_INDEX_GROSS",-1.04,-0.86,-0.86,0,0,-1.25,0,-0.99,0,-1.05,-0.89,-1.52,0,0,0,0,0,0,0,0,0,0,3.02,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
