"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-1.36,2.38,0,2.72,0,2.23,0,0,0,1.96,2.25,3.02,1.12,0,0,0,0,0,5.04,0,0,0,0,0,0
"ATX",0,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",2.17,2.27,-9.67,0,0,2.2,0,1.8,0,2.09,0,2.74,0,0,1.95,0,0,0.92,4.08,1.65,0,0,0,0,1.96
"Bovespa",0.26,0.37,0,17.74,0,0.29,0,0.31,0,0.27,0,0.38,0,0,0.26,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,-6.24,0,0,0,0,0,0,0,0,2.08,0,0,0,3.31,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-7.24,0,0,0,0,-0.55,0,0,0,0,-0.6,-1.6,0,0,0,0,0,-0.89
"Dow_30",0,0,0,0,0,0,0,0,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,-4.2,0,0,0,0,0,0,0,-5.44,-3.81,-4.83,0,0,-3.29,0,0,0,-8.72,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,-1.25,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,-9.53,0,0,-0.64,0,0,0,-1.24,0,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0.52,0.69,0.54,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,0,0.8,0,0,0,0,0,0.55
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63,0,-5.76,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,-0.75,0,0,-0.85,0,0,0,-0.76,0,-0.88,0,0,0,0,0,7.06,0,-0.8,0,0,0,0,0
"MERVAL",-0.34,-0.45,-0.23,0,0,-0.32,0,-0.33,0,-0.29,0,-0.4,0,0,-0.22,0,0,0,8.09,-0.3,0,0,0,0,-0.34
"Nikkei_225",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.7,0,0,0,0,0
"Russell_2000",0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1.81,0,-4.19,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0
"SP_TSX_Composite_index",-0.79,0,-0.68,0,0,-0.88,0,-0.78,0,-0.83,-0.62,-1.01,0,0,0,0,0,0,0,-0.79,0,0,0,1.26,-0.77
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.46
