"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",3.29,0,0,0,0,0,0,0,1.21,1.19,0,0,0.9,0,0,0,0,0,0,0,1.75,0,0,0,0
"ATX",0,1,0,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",-2.26,0,0,0,1.46,0,0,-3.91,0,0,0,-3.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,2.51,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0.95,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,-1.34,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0.42,0,-9.64,0,0,0,0,0.52,0,0,0,0,0.67,0.41,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,-2.98,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.22,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,-0.68,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
"Nifty_50",2.22,0,0,0,0,0,0,3.78,0,0,0,2.93,0,0,0,0,0.57,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,-1.74,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.25,0,0,0,0,0,0
"Nikkei_225",-0.4,0,0,0,0,-0.49,0,-0.46,0,-0.47,0,-0.54,0,0,0,0,0,0,0,3.97,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,2.08,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0
"SP_TSX_Composite_index",-0.56,-0.56,0,0,0,-0.61,0,-0.54,0,-0.58,0,-0.66,-0.42,0,0,0,0,-0.55,0,0,0,0,0,2.17,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02
