"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-0.37,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,-0.74,0,0
"ATX",0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
"BEL_20",0,0,-0.35,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,-0.85,0,0,0,0
"Bovespa",0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,2.41,0,0,0,0,0,0,0,0,1.67,0,0,1.64,0,0,2.43,0,0,0,0,0
"CAC40",0,0,0,0,1.51,3.19,0,0,0,0,2.81,0,0,0,0,0,1.53,0,0,0,-1.67,0,0,0,0
"CSE",0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,-0.72,0,-0.7,0,0,-0.56,-0.51,0,-0.48,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-0.48,0,0,0,0,0,0,-0.78,0,0,0,0,0,0,0,0.44,0,0
"Dow_30",0,0,0,0,1.02,0,0,0,8.25,0,0,0,0,0,-1.22,0,1.06,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,-2.8,0,0,0,0,1.54,-3.69,0,0,0,0,2.92,-2.85,0,0,0,3.07,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,-3.76,0,-0.35,0,0,0,0,-0.28,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,-2.43,0,0,0.86,0,0,0.81,0,0,0.53,0,0,0,0
"IDX_Composite",0.21,0,0.15,0,0,0.24,0,0,0,0.22,0,0.18,1.08,0,0,0,0,0,-0.82,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,-0.35,0,-0.52,0,0.84,0,0,0,-0.57,0,0,0,0,0,0,-0.36
"MOEX_Russia_Index",-0.26,0,-0.24,0,0,0,0,0,0,0,0,-0.24,0,0,7.81,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62,0,0,1.9,0,0,-2.69,0,0,-1.48,0,0
"IPC_MEXICO",0,0,0.24,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0.45,3.86,0,0.28,0,0,-0.24,0,0
"MERVAL",0,0,0,0,-0.05,0,0,0,0,0,0,0,0.14,0,0,0,0,0,29.35,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0.53,0,0,2.52,0,0,0,0
"SP_500",0,0,0,-4.25,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,6.46,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,4.56,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64,0,0,0,0,0,0.27,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78
