"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,2.15,0,0.5,0,0,0,0.41,0,0.74,0,0,0,0.37,0,0,0,0,0.46,0,0,0,0
"BSE_Sensex",0,0,0,0,-3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0
"Dow_30",-1.87,0,0,0,-1.41,-1.48,0,0,-0.37,-1.49,0,0,0,0,0,-1.42,-1.45,0,-5.17,0,-1.53,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,-0.43,0,0,0,0,0
"IBEX_35",0,-0.58,-0.48,0,0,-0.49,0,0,0,-0.48,0,9.61,0,0,0,-0.56,0,0,0,0,-0.61,-0.54,0,0,0
"IDX_Composite",0,0.96,0.56,1.2,0,0.69,0,0.76,0,0.59,0,0.77,4.87,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,3.05,1.49,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.18,0,0,0.18,0,26.58,0.16,0,0,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,-0.43,0,0,0,0,0,0,0,0,0,3.81,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0.81,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12
