"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",2.33,0,-2.39,0,0,-1.63,-0.88,-1.46,-1.76,-1.62,0,-1.48,0,0,0,0,0,0,0,0,0,-1.46,0,-0.88,0
"ATX",0,-2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-3.04,0,0,0,0,0,0,0,0.71,0,0.54,0.53,0.53,0,0,0,0,0.57,0,0,0,0,0
"Bovespa",0,0,0,4.04,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0.21,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",-0.65,0,0,0,0,-0.94,0,6.59,0,-0.88,0,0,0,0,-0.91,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0.28,0,0.36,0,0,0.43,0.25,0,0.31,0.4,-2.93,0,-0.3,0,0,0,0,0,0,-0.33,0,0,0,0.25,0
"IBEX_35",0.87,1.03,1.27,0,0,1.03,0.6,0.99,0.99,1.05,0,-0.45,0,0,0,0,0,0,0,0,0,0.82,0,0.6,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,-5.25,0.33,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.39,0,0,-0.37,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0.38,0,0,0,0,0,0.38,11.8,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,0,0,0
"Nikkei_225",0,0,0,0.81,0.48,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0
"Russell_2000",0.39,0,0,0,0,0,0.33,0.7,0,0,0,0.41,0,0,0,0,0,0,0,0,2.43,0,0,0.33,0
"SP_500",-1.34,0,0,-2.95,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,-1.2,0
"SP_NZX_50_INDEX_GROSS",0.46,0.59,0,0,0,0,0,0.73,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,9.28,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63,0,0,0,0,0,0,0,0,0,1.59,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71
