"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0.97,0,0,0,0,0,0,0
"ATX",0,12.96,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0
"BEL_20",0,0,11.65,-1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36,0,0
"Bovespa",0,0,0,-3.81,0,0,0,0,0.28,0,0,0,0,0,0,0.32,0,0.24,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,5.6,-3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0
"CAC40",0,0,0,0,0,4.98,0,0,2.89,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,0.1,0,0,0,0.6,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",-2.23,0,0,-2.5,-1.2,0,0,0,8.1,0,0,0,0,0,0,0,-1.18,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,-3.92,6.47,0,0,0,0,0,0,0,-3.62,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,-0.6,0,0,0,0,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,-5.41,0,0,0,0,0,0,0,0,0,0,0,0,-3.62,0,0,-3.79,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,9.58,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33,0,4.07,0,0,0,0
"SP_500",4.21,0,2.68,0,1.94,3.46,0,4.08,0,3.48,0,3.39,0,0,0,0,1.98,0,0,0,0,7.4,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,0,0,0,0,0,0,12.41,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18
