"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-31.06,0,0,0,0,0,0,0,0,0,-1.72,0,0,0,0,0,0,0,-5.97,0,0,0,0,0,0
"ATX",0,-44.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-30.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,-33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0.31,0,0,0,0
"BSE_Sensex",0,0,0,0,-22.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,2.13,0,644.38,0,0,1.44,0,0,0,0,0,0,0,0,2.8,0,0,0,0,-1.71,0,0
"CSE",1.03,0,1.02,0.9,0,1.09,-27.6,1.11,0,0.94,0,0,0,0,0,0,0,0,0,-0.8,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-34.69,0,0,0,0,0,0,0,0,0,0,0,-0.55,0,0,0,0,0
"Dow_30",0,-1.82,0,-1.24,0,0,0,0,-28.49,0,0,0,0,0,0,0,0,0,-5.51,0,0,0,0,0,0
"EURONEXT_100",0,0,0,-2.72,0,0,0,0,0,-34.02,0,0,0,0,0,0,0,-3.42,10.26,0,0,0,2.3,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,-15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0.5,0.71,0,0,0,0,0,0,0,-36.04,0.63,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",0,0,0,0.53,0,0,0,0,0,0,0,0,-25.35,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,-18.65,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",-0.42,0,-0.4,0,0,-0.37,0,-0.37,0,-0.4,0,-0.4,0,0,-17.88,0,0,0,0,0.4,0,-0.26,-0.4,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.91,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.86,0,-9.93,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,-0.33,0,0,0,0,-14.35,0,-0.27,0,0,0.23,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.74,-0.05,0,0,0,0,0
"Nikkei_225",0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.3,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.16,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,-25.73,0,0,0
"SP_NZX_50_INDEX_GROSS",-0.54,-0.37,-0.49,-0.33,0,-0.52,0,-0.55,-0.28,-0.49,0,-0.44,0,-0.31,0,-0.41,0,-0.43,0,0,-0.31,-0.31,-23.34,0,-0.35
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,-27.6,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.11
