"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,-0.81,0,0
"ATX",0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-0.99,0,0,0,0,0,0,0,0,-1.76,0,0,0,0,0,0,0,0,-1.01,0,0,0,0
"Bovespa",0,-0.2,0,0.68,0,0,-0.08,0,-0.13,0,0,-0.26,0.15,0,0,-0.17,0,0,0,0,0,-0.1,0,-0.08,0
"BSE_Sensex",0,0,0,0,7.74,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
"CAC40",0,-2.58,0,0,0,-0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,3.4,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,-1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,-1.54,0,0,0,0,0,0,10.18,0,0,-2.15,0,0,0,0,0,0,0,0,-0.98,0,0,0,-1.1
"EURONEXT_100",0,3.98,0,0,0,0,0,0,0,-0.37,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,-0.12,0,0,0,0,-3.25,0,0,0,0,0,0,0,0,0,0,0,-0.12,0
"IDX_Composite",0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,-0.36,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,-0.27,0,0,0,0.37,2.62,0,-0.4,0,0,0,0,-0.52,-0.37,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,-1.16,0,0,0.83,0,0,0,-0.68,0,0,0,0.79,0,0,5.94,0.69,0,0,0,-0.67,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,-4.2,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0.18,0,0,0,0.1,0,0,0,0,0,0,0,0.17,0,15.08,0.22,0.21,0.1,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0
"SP_500",0,3.61,0,0,0,0,0,0,1.38,0,0,3.6,-2.1,0,0,0,0,0,0,0,2.2,5.9,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0.6,0.5,0,0,0,0,0,0,0,3.4,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45
