"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,6.3,0,0,-0.3,0,-0.36,0,0,0,-0.33,0,0,-0.22,0,0,-0.31,0,0,0,0,0,0,-0.36,0
"BEL_20",0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,7.95,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,8.99,0,0,0,0,0,0,0,-1.57,-1.21,-2.92,0,-1.61,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,5.35,0,0,0,0,-1.61,0,0,0,0,0,0,0,-3.09,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,0,0,-1.17,0,0,3.64,-1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,9.05,0,0,0.2,0,0,0,0,-0.75,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,10.2,0,0.3,0.77,0,0,0,0,0.69,0,0,0,0,0
"IDX_Composite",0,0,0.48,0,0,0,0,0,0,0.38,0,0.63,4.62,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0.53,0,0,5.95,0,0,0,0,1.12,0,0,0,-0.41,0,0
"MOEX_Russia_Index",0,-0.28,0,0,0,0,0,0,0,0,0,-0.24,0,0,-9.86,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,1.81,0,0,0,0,0,0,0,1.59,1.49,2.89,0,10.23,0,0,0,0,0,1.31,0,0
"IPC_MEXICO",0,0,0,0,0,0,0.24,0,0,0,0,0,0,-0.24,0,0,0,7.49,0,0,0,0,-0.23,0.24,0.24
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,13.77,0,0,0,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,-2.4,0,0,0,0,0
"Russell_2000",0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.41,0,0,0.39,0,0,0,2.21,-0.28,0,0,-0.46
"SP_500",0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,2.96,4.33,0,0,1.87
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0.36,0,0.36,0,0,0,0,0,0,0.38,0,0,0,0,0,0.32,3.59,0.36,0
"SP_TSX_Composite_index",0,0,0,0,0.4,0,0,0,0,0,0.46,0,0,0,0,0,0.46,0,0,0,0,0,-0.3,0.41,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12
