"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0
"ATX",0,-17.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,-12.49,0,0,0,0,0,0,0,0,0,-0.69,0,0,0,0,0,0,1.35,0,0,0,0,0
"Bovespa",0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,-0.37,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,-13.89,0,0,0,0,-2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",-0.75,-1.03,0,0,0,-0.78,-10.37,0,0,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
"DAX_PERFORMANCE.INDEX",0,0,0,0.87,0,0,0,-11.37,0,0,0,0,0,0,0,1.18,0,0,1.58,0,1,0.95,0.46,0,0
"Dow_30",0,0,0,0,0,0,0,0,-10.9,0,-2.18,0,-0.99,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,-13.6,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,-4.69,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,0
"IBEX_35",-0.58,0,0,0,0,-0.65,0,0,0,-0.6,0,-9.05,0,0,0,0,0,0,-1.61,0,0,0,0,0,-0.92
"IDX_Composite",0,0,0,-0.56,0,-0.45,0,0,0,-0.4,0,-0.35,4.19,0,0,-0.63,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,-11.59,0,0,0,0,-1.2,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,-0.35,0,0,0,0,0,-0.47,0,0,0,-6.08,0,-0.37,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,-17.49,0,0,0,0,0,0,0.49,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0.39,0,0.18,0,0,0,0,-18.55,0,0,0,0,0,0,0
"MERVAL",0.14,0,0,0,0,0.16,0,0,0.29,0,0.2,0.13,0.14,0,0,0.38,0,0,-9.21,0,0.36,0.29,0,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,1.24,0,0,1.12,-16.18,0.87,0.82,0.23,0,0
"Russell_2000",0.43,0,0,0,0,0.59,0,0.49,0,0.5,0,0.47,0.34,0,0,0,0,0,0,0,-20.35,0,0,0,0.54
"SP_500",0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,-13.27,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12,0,0,0,-4.37,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,0,0,0,0,-10.37,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74
