"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",-2.77,0,0,-1.67,0,0,0,0,-2.09,0,0,0,0,0,0,0,0,0,0,0,0,-1.67,0,0,0
"ATX",0,0.39,0,0,0,0,-0.37,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,-0.37,0
"BEL_20",0,0,-3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,7.24,0,0,-0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42,0,0,-0.33,-0.32
"BSE_Sensex",0,0,0,0,-2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,-5.11,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0.67,0,0.69,0,0,0,0,-6.35,1.24,0,0,0.76,0,0,0.95,0,0,0,0,0,0,0,0,0,0.67
"Dow_30",0,0,0,0,0,0,0,0,-1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,-2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0.3,0,0.35,0,0.75,0,1.37,0.37,0,0,0,0.64,0.29,0,0,0,0.66,0.65,0,0.35,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,-4.42,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",-0.39,-0.39,-0.41,0,0,-0.45,-0.4,-0.55,0,-0.45,0,-0.52,-4.04,0,0,0,0,0,0,0,0,0,-0.36,-0.4,-0.35
"KOSPI_Composite_Index",0,0,0,0.55,0,0,0,0,0,0,0,0,0,-1.83,0,0,0,0,0,-0.7,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0
"Nasdaq",0,0,0,0,0,0,-0.85,0,-1.97,0,0,-1.46,0,0,0,2.92,0,0,0,0,-1.79,-1.67,0,-0.85,-1.47
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41,0,0,-3.66,0,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,-4.37,0.22,0.27,0,0,0,0
"Nikkei_225",0,0,0,-0.6,-0.43,0,-0.4,0,-0.89,0,0,0,0,-0.44,0,-0.95,-0.42,-0.28,-0.61,-10.8,-0.85,-0.86,0,-0.4,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
"SP_500",0,0,0,0,0,0,1.88,0,0,0,0,3.24,0,2.2,0,0,0,0,0,0,0,-0.29,0,1.88,3.06
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69,0,0
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,-5.11,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.79
