"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATX",0,12,0,0,-0.41,0,0,0,0,0,-0.45,0,0,-0.39,0,0,-0.44,0,0,-0.7,0,0,-0.68,0,0
"BEL_20",0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,1.4,9.31,0,0,0,0,2.03,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0
"CSE",0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,8.11,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dow_30",0,0,0,-3.59,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EURONEXT_100",0,0,2.01,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,-0.41,0,0,0,0,0,0,-0.37,-6.07,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,-0.71,0,0,0,0
"IDX_Composite",0,0.31,0,0,0,0,0.18,0,0,0,0,0,-1,0,0.35,0,0,0,0,0,0,0,0,0.18,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",0,0,0,-0.9,0,0,-0.28,0,0,0,0,0,0,0,13.46,0,0,-0.47,-0.86,0,0,0,0,-0.28,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06,0.67,0,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,2.3,0.35,0,0,0.22,0,0
"Nikkei_225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.78,15.7,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,1.15,0,8.02,0,0.52,0.45,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0
"SP_NZX_50_INDEX_GROSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.1,0,0
"SP_TSX_Composite_index",0,0,0,-0.96,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,-1.11,0,0,0,0,3.71,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
