"","AEX","ATX","BEL_20","Bovespa","BSE_Sensex","CAC40","CSE","DAX_PERFORMANCE.INDEX","Dow_30","EURONEXT_100","HANG_SENG_INDEX","IBEX_35","IDX_Composite","KOSPI_Composite_Index","MOEX_Russia_Index","Nasdaq","Nifty_50","IPC_MEXICO","MERVAL","Nikkei_225","Russell_2000","SP_500","SP_NZX_50_INDEX_GROSS","SP_TSX_Composite_index","SMI"
"AEX",4.2,0,0,0,0,0,0,0,0,0,-1.72,0,0,0,0,0,0,0,-5.97,0,0,0,0,0,0
"ATX",0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL_20",0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bovespa",0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSE_Sensex",0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAC40",0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,-1.71,0,0
"CSE",1.03,0,1.02,0,0,1.09,2.41,1.11,0,0.94,0,0,0,0,0,0,0,0,0,-0.8,0,0,0,0,0
"DAX_PERFORMANCE.INDEX",0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,-0.55,0,0,0,0,0
"Dow_30",0,-1.82,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,-5.51,0,0,0,0,0,0
"EURONEXT_100",0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,-3.42,10.26,0,0,0,0,0,0
"HANG_SENG_INDEX",0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBEX_35",0,0,0,0.71,0,0,0,0,0,0,0,3.29,0.63,0,0,0,0,0,0,0,0,0,0,0,0
"IDX_Composite",0,0,0,0.53,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0
"KOSPI_Composite_Index",0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0
"MOEX_Russia_Index",-0.42,0,-0.4,0,0,0,0,0,0,-0.4,0,0,0,0,10.15,0,0,0,0,0.4,0,0,-0.4,0,0
"Nasdaq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0
"Nifty_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0
"IPC_MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,-0.33,0,0,0,0,-1.67,0,-0.27,0,0,0,0,0
"MERVAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.59,0,0,0,0,0,0
"Nikkei_225",0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0
"Russell_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0
"SP_500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0
"SP_NZX_50_INDEX_GROSS",-0.54,-0.37,-0.49,0,0,-0.52,0,-0.55,0,-0.49,0,-0.44,0,0,0,-0.41,0,-0.43,0,0,0,-0.31,5.13,0,-0.35
"SP_TSX_Composite_index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0
"SMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29
