DATE,AEX,ATX,BEL_20,BIST_100,Bovespa,BSE_Sensex,CAC40,CSE,DAX_PERFORMANCE-INDEX,Dow_30,Euro_Stoxx_50,EURONEXT_100,HANG_SENG_INDEX,IBEX_35,IDX_Composite,KOSPI_Composite_Index,MOEX_Russia_Index,Nasdaq,Nifty_50,IPC_MEXICO,MERVAL,Nikkei_225,Russell_2000,SP_500,SP_NZX_50_INDEX_GROSS,SP_TSX_Composite_index,SMI,SSE,TA_35,Taiwan_Weighted
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,0.015164055579437232,-0.0010942096075536713,0.013786764828982598,-0.0018348926626466904,-0.013510507048520519,0.009405644670011393,0.019304634458883262,0.0010431042400432958,0.020502850678844855,-0.007936511452116463,0.01446940491206743,0.019535671733772363,0.013367993095230462,0.006745608589189216,0.013458822886395478,0.007949740438607425,0.0031441951171830135,0.0015746002766736115,0.008468876513875734,-0.01093572561691914,-0.0042247005970540786,0.010544766752274153,-0.0012096583466051577,-0.0054915224477955155,0.0049742493979221735,0.0010431042400432958,0.020211335787354498,0.002518413305693498,,0.010825610574426435
2015-01-26,0.010075715021452455,0.010993644458230456,0.012940056843818276,0.0074600868233116275,-0.004059456688877499,,0.0074212977893064495,0.0012449364326854405,0.013967686886292269,0.0003451450344006649,,0.00907068998652435,0.0023923580405357885,0.01083018560695561,-0.011995158198734063,-0.00021172156624878487,-0.017603812141053436,0.0029172411539000005,,0.0020664336268336244,0.008146375404526236,-0.0024686549887931396,0.009933247090749468,0.002568461085935695,0.004126683811496259,0.0012449364326854405,0.016577304747602054,0.009373562633699553,,0.0007105410544746264
2015-01-27,-0.010193021403285887,-0.012614630684489172,-0.005397219182889842,-0.002875944669649791,0.0002882022356259135,,-0.01089165932804525,0.0024395914579004303,-0.01572002326043362,-0.01648810681086333,,-0.009369559782608713,-0.004119691062155973,-0.009087351609760196,0.003255688613002708,0.008637775631075498,0.01921007391516547,-0.018915404468415168,,-0.002574562032857515,0.023356296730883252,0.0171612282007071,-0.005063507545875971,-0.013387862379316457,0.0068577660239755416,0.0024395914579004303,0.012821160315541523,-0.00893298824222096,-0.0035536832801535173,0.004634042160304826
2015-01-28,-0.0047529002393524615,-0.013306510802179336,0.002948315355027933,,-0.018439628737832107,-0.000401046949169897,-0.0028696837107133103,-0.01557243839524175,0.007751707979369361,-0.011263554442304825,,-0.0018214509764233812,0.002198195511371317,-0.013397616239565622,-0.0015722268058652093,0.004701870460538372,-0.015657906178940494,-0.00929397970735878,0.00042644127714500427,-0.011019798726531242,-0.026844525246698735,0.0015437428901095395,-0.01635615023847025,-0.013495609538427277,0.009948095883073448,-0.01557243839524175,-0.010861889770366152,-0.014083652816992271,-0.0014292774437382157,-0.0011206029848812033
2015-01-29,0.00037588548421548917,-0.003194878331306091,0.002027536372899073,,0.0014047594087430548,0.004147268100601884,0.004443830382131671,0.002355656279159601,0.002511480350111599,0.013115911022016811,,0.0028141165211377187,-0.01069756916927729,0.004848398292445929,-0.0011642532264376805,-0.005383382904020715,-0.004891599365648303,0.009793018033336386,0.0042684007529854694,-0.007015078864005797,-0.032743074208608405,-0.010649170391185882,0.012815762700046569,0.009534685377702431,-0.006041562302766049,0.002355656279159601,0.014893737257705035,-0.01313870140763367,-0.003661008580493414,-0.008834006772115889
2015-01-30,-0.004596958904243509,0.00181983888151187,-0.0050952219302807375,0.004381319473740578,-0.017880323269544827,-0.016805612329784766,-0.00586863559788661,0.0024731470614295747,-0.004055720876252076,-0.014463028369369123,,-0.0065769279270279845,-0.0036103175703069102,-0.009926130408572577,0.005070770873731985,-0.0009020973552080545,0.004903434807622129,-0.010285223885054932,-0.01602363896242265,-0.021779725133239947,0.0006104321640950196,0.0038719224954612314,-0.020828814024134185,-0.01299196536796535,-0.0027448924249327167,0.0024731470614295747,-0.005952334100174338,-0.015921839338346663,,-0.0068941255666652036
2015-02-02,0.0008214991178257297,0.012185582054822742,0.002325563721823795,0.008623229280613492,0.01583951564765072,-0.0020792856659083005,0.005086587826464688,0.015470065083313457,0.012500977068873311,0.011423852264179654,,0.002129576883791144,-0.0009103725780540688,-0.007228494555531054,-0.0024894996630044743,0.0017545345323120654,-0.013582580947491612,0.008942299623644439,-0.0013054977908195536,,0.0,-0.006583059324004266,0.00868378385754405,0.012962464037225537,0.002209251566852304,0.015470065083313457,0.005255769751324654,-0.025561902829745336,,0.002678948802336794
2015-02-03,0.01122547894166555,0.02040752264439075,0.005231003045165781,,0.02755451092317055,-0.004193660314488823,0.01085427025838773,0.010898989362773009,0.005812742171477667,0.017588885486168153,,0.0111317699156595,0.002860518932634724,0.026152012105366464,0.0029342761524473525,-0.00036877162673158855,0.017873467181931803,0.010915902838126648,-0.00464348377752478,,0.06264211296479132,-0.012654571117125403,0.018272902669710205,0.014439494938539686,0.004387982375096049,0.010898989362773009,0.0027202685272087277,0.024488358469478777,0.006125500924172886,0.006577213085443943
2015-02-04,-0.0020622218980396634,-0.004573476158052392,0.0024627315284326393,,0.0068826076300955805,-0.004035540775933737,0.003933368260430883,-0.004461305210525825,0.0018703710544331188,0.00037467394905045753,,0.004432014950099978,0.0050898632599506955,-0.001924891927369266,0.004453451225279346,0.005548309502440638,0.001003430338651403,-0.002335161928018807,-0.003751433010892481,0.0033335234697559066,-0.007163332796650578,0.01977928008916197,-0.004636671188870965,-0.004156045950290833,0.0005827841621523695,-0.004461305210525825,0.018469942270289787,-0.009604336466823493,0.0013124945705952193,0.006899281677456752
