Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,2651.040039,2655.620117,2629.129883,2634.989990,2634.989990,7764100
2015-04-17,2634.419922,2634.419922,2575.899902,2589.560059,2589.560059,9729600
2015-04-20,2589.570068,2623.800049,2579.409912,2608.300049,2608.300049,6405500
2015-04-21,2607.419922,2640.149902,2607.419922,2632.260010,2632.260010,8560200
2015-04-22,2632.429932,2643.120117,2601.850098,2617.290039,2617.290039,6784200
2015-04-23,2615.510010,2625.590088,2595.280029,2613.179932,2613.179932,6195800
2015-04-24,2613.070068,2637.850098,2611.739990,2637.850098,2637.850098,8113400
2015-04-27,2638.620117,2662.820068,2636.060059,2661.699951,2661.699951,5759700
2015-04-28,2662.090088,2663.389893,2627.100098,2646.669922,2646.669922,7551500
2015-04-29,2647.229980,2651.020020,2586.510010,2586.510010,2586.510010,8051200
2015-04-30,2586.149902,2594.689941,2560.580078,2586.330078,2586.330078,9912600
2015-05-04,2586.459961,2625.070068,2585.679932,2614.090088,2614.090088,5251500
2015-05-05,2613.189941,2628.189941,2581.389893,2583.929932,2583.929932,8256500
2015-05-06,2582.770020,2598.330078,2564.500000,2571.260010,2571.260010,7390400
2015-05-07,2570.550049,2618.469971,2536.330078,2615.330078,2615.330078,11072100
2015-05-08,2615.459961,2653.229980,2615.350098,2653.229980,2653.229980,8209300
2015-05-11,2653.590088,2665.770020,2646.709961,2653.800049,2653.800049,7497000
2015-05-12,2653.320068,2653.320068,2610.949951,2633.030029,2633.030029,6806300
2015-05-13,2633.409912,2661.350098,2632.840088,2659.570068,2659.570068,7054900
2015-05-15,2659.389893,2695.570068,2659.389893,2681.439941,2681.439941,8231800
2015-05-18,2681.939941,2681.939941,2625.389893,2637.550049,2637.550049,7462700
2015-05-19,2637.300049,2657.739990,2637.300049,2642.560059,2642.560059,7965300
2015-05-20,2642.520020,2656.320068,2632.600098,2652.399902,2652.399902,8212800
2015-05-21,2653.010010,2654.790039,2631.110107,2639.919922,2639.919922,6244000
2015-05-22,2639.919922,2654.679932,2636.040039,2640.719971,2640.719971,6468900
2015-05-26,2641.409912,2642.760010,2596.479980,2596.790039,2596.790039,8890600
2015-05-27,2595.919922,2619.659912,2587.959961,2614.629883,2614.629883,7775200
2015-05-28,2614.969971,2614.969971,2562.340088,2576.429932,2576.429932,10084200
2015-05-29,2576.750000,2585.250000,2561.889893,2568.760010,2568.760010,82345600
2015-06-01,2568.909912,2580.870117,2552.389893,2554.280029,2554.280029,8694000
2015-06-02,2554.429932,2580.780029,2542.080078,2578.590088,2578.590088,10268400
2015-06-03,2578.729980,2614.909912,2574.639893,2612.350098,2612.350098,7907300
2015-06-05,2612.090088,2615.570068,2543.030029,2544.669922,2544.669922,8956700
2015-06-08,2544.360107,2554.439941,2500.139893,2500.979980,2500.979980,7675400
2015-06-09,2500.979980,2506.209961,2465.629883,2502.800049,2502.800049,7744700
2015-06-10,2502.919922,2557.370117,2495.439941,2546.409912,2546.409912,7703100
2015-06-11,2546.530029,2553.729980,2516.040039,2527.340088,2527.340088,6151000
2015-06-12,2527.320068,2528.139893,2472.379883,2494.030029,2494.030029,6107600
