Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,3425.310059,3462.939941,3397.800049,3456.949951,3456.949951,0
2015-01-23,3477.070068,3532.429932,3471.760010,3504.610107,3504.610107,0
2015-01-26,3495.020020,3551.899902,3492.760010,3549.959961,3549.959961,0
2015-01-27,3551.780029,3565.830078,3516.110107,3530.800049,3530.800049,0
2015-01-28,3544.129883,3545.780029,3504.340088,3541.209961,3541.209961,0
2015-01-29,3511.929932,3549.290039,3511.899902,3548.389893,3548.389893,0
2015-01-30,3554.879883,3562.550049,3520.139893,3530.310059,3530.310059,0
2015-02-02,3535.159912,3553.459961,3510.020020,3538.520020,3538.520020,0
2015-02-03,3547.250000,3572.389893,3542.469971,3557.030029,3557.030029,0
2015-02-04,3551.030029,3565.790039,3542.219971,3565.790039,3565.790039,0
2015-02-05,3537.409912,3568.370117,3531.379883,3557.189941,3557.189941,0
2015-02-06,3552.050049,3557.290039,3533.459961,3549.959961,3549.959961,0
2015-02-09,3528.050049,3529.040039,3488.729980,3511.570068,3511.570068,0
2015-02-10,3516.790039,3552.800049,3502.989990,3543.840088,3543.840088,0
2015-02-11,3536.439941,3551.959961,3530.330078,3537.860107,3537.860107,0
2015-02-12,3541.540039,3574.100098,3540.870117,3566.909912,3566.909912,0
2015-02-13,3571.010010,3587.810059,3567.020020,3575.540039,3575.540039,0
2015-02-16,3572.260010,3575.550049,3557.929932,3562.389893,3562.389893,0
2015-02-17,3553.959961,3573.590088,3533.439941,3573.590088,3573.590088,0
2015-02-18,3580.189941,3602.179932,3579.350098,3595.820068,3595.820068,0
2015-02-19,3585.739990,3624.969971,3572.399902,3624.969971,3624.969971,0
2015-02-20,3612.979980,3624.699951,3600.429932,3624.699951,3624.699951,0
2015-02-23,3647.919922,3658.120117,3640.330078,3658.120117,3658.120117,0
2015-02-24,3660.389893,3670.439941,3637.659912,3666.800049,3666.800049,0
2015-02-25,3668.350098,3688.949951,3660.570068,3672.080078,3672.080078,0
2015-02-26,3674.500000,3713.840088,3673.580078,3713.840088,3713.840088,0
2015-02-27,3700.290039,3714.439941,3681.229980,3714.439941,3714.439941,0
2015-03-02,3709.979980,3729.610107,3703.929932,3713.389893,3713.389893,0
2015-03-03,3713.409912,3720.949951,3665.270020,3667.250000,3667.250000,0
2015-03-04,3674.659912,3702.159912,3669.370117,3702.159912,3702.159912,0
2015-03-05,3700.949951,3735.709961,3697.219971,3731.379883,3731.379883,0
2015-03-06,3725.590088,3753.479980,3722.899902,3732.580078,3732.580078,0
2015-03-09,3716.300049,3722.679932,3699.479980,3713.649902,3713.649902,0
2015-03-10,3707.629883,3719.530029,3669.459961,3669.459961,3669.459961,0
2015-03-11,3677.419922,3724.409912,3675.540039,3719.780029,3719.780029,0
2015-03-12,3720.199951,3733.590088,3709.840088,3716.179932,3716.179932,0
2015-03-13,3724.790039,3730.909912,3714.850098,3728.330078,3728.330078,0
2015-03-16,3729.870117,3775.750000,3729.870117,3770.479980,3770.479980,0
2015-03-17,3781.000000,3786.100098,3719.560059,3735.879883,3735.879883,0
2015-03-18,3732.139893,3738.419922,3712.560059,3727.919922,3727.919922,0
2015-03-19,3728.919922,3745.199951,3719.699951,3734.350098,3734.350098,0
2015-03-20,3735.409912,3772.100098,3735.409912,3765.800049,3765.800049,0
2015-03-23,3763.379883,3763.379883,3730.620117,3751.580078,3751.580078,0
2015-03-24,3739.189941,3773.560059,3733.860107,3765.409912,3765.409912,0
2015-03-25,3760.780029,3776.889893,3740.649902,3745.129883,3745.129883,0
2015-03-26,3716.389893,3721.469971,3668.250000,3703.129883,3703.129883,0
2015-03-27,3712.350098,3734.070068,3700.820068,3712.810059,3712.810059,0
2015-03-30,3724.489990,3765.860107,3716.010010,3762.899902,3762.899902,0
2015-03-31,3758.250000,3779.750000,3722.219971,3725.820068,3725.820068,0
2015-04-01,3717.860107,3774.360107,3716.550049,3742.620117,3742.620117,0
2015-04-02,3745.179932,3773.310059,3744.879883,3773.310059,3773.310059,0
2015-04-07,3795.020020,3846.489990,3781.060059,3839.110107,3839.110107,0
